Index,Title_x,ID,Rating,Release Year,Duration,Cleaned_Title,Title_y,BoxOfficeMojo_Link,Title,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
4851,4715. In the Land of Saints and Sinners,tt15782690,6.3,1h 41m,1h 25m,In the Land of Saints and Sinners,4715. In the Land of Saints and Sinners,https://www.boxofficemojo.com/title/tt15782690/,In the Land of Saints and Sinners (2023),"$3,629,978","$2,258,795","$1,371,183",Robert Lorenz,"Kerry Condon (Doireann McCann), Desmond Eastwood (Curtis June), Conor MacNeill (Conan McGrath), Seamus O'Hara (Séamus McKenna)"
4852,4716. Batman Ninja,tt7451284,5.6,PG-13,1h 19m,Batman Ninja,4716. Batman Ninja,https://www.boxofficemojo.com/title/tt7451284/,Batman Ninja (2018),–,–,–,Junpei Mizusaki,"Ahnaf (Ninja), Kôichi Yamadera (Batman), Wataru Takagi (The Joker), Ai Kakuma (Catwoman)"
4853,4717. The Devil's Candy,tt4935372,6.4,2010,1h 40m,The Devil's Candy,4717. The Devil's Candy,https://www.boxofficemojo.com/title/tt4935372/,The Devil's Candy (2015),"$772,319",–,"$772,319",Sean Byrne,"Ethan Embry (Jesse Hellman), Shiri Appleby (Astrid Hellman), Pruitt Taylor Vince (Ray Smilie), Kiara Glasco (Zooey)"
4854,4718. Love Wedding Repeat,tt5096470,5.6,1h 38m,1h 53m,Love Wedding Repeat,4718. Love Wedding Repeat,https://www.boxofficemojo.com/title/tt5096470/,Love Wedding Repeat (2020),–,–,–,Dean Craig,"Sam Claflin (Jack), Olivia Munn (Dina), Freida Pinto (Amanda), Eleanor Tomlinson (Hayley)"
4855,4719. Father Figures,tt1966359,5.5,R,1h 42m,Father Figures,4719. Father Figures,https://www.boxofficemojo.com/title/tt1966359/,Father Figures (2017),"$25,701,244","$17,501,244","$8,200,000",Lawrence Sher,"Owen Wilson (Kyle Reynolds), Ed Helms (Peter Reynolds), Glenn Close (Helen), Robert Mello (Mr. Jensen)"
4856,4720. The Bob's Burgers Movie,tt7466442,7.0,2008,1h 58m,The Bob's Burgers Movie,4720. The Bob's Burgers Movie,https://www.boxofficemojo.com/title/tt7466442/,The Bob's Burgers Movie (2022),"$34,148,750","$31,933,830","$2,214,920",Loren Bouchard,"H. Jon Benjamin (Bob Belcher/Jimmy Jr./Bad Kuchi Kopi/Good Kuchi Kopi/Ms. Labonz/Additional Voices), Kristen Schaal (Louise Belcher), Dan Mintz (Tina Belcher), John Roberts (Linda Belcher/Jocelyn/Additional Voices)"
4857,4721. The Captain,tt6763252,7.3,2h 2m,1h 47m,The Captain,4721. The Captain,https://www.boxofficemojo.com/title/tt6763252/,The Captain (2017),"$1,197,218","$109,226","$1,087,992",Robert Schwentke,"Max Hubacher (Willi Herold), Alexander Fehling (Junker), Sebastian Rudolph (Gefreiter Paul), Max Thommes (Bursche)"
4858,4722. Night Teeth,tt10763820,5.7,R,1h 30m,Night Teeth,4722. Night Teeth,https://www.boxofficemojo.com/title/tt10763820/,Night Teeth (2021),–,–,–,Adam Randall,"Jorge Lendeborg Jr. (Benny), Debby Ryan (Blaire), Lucy Fry (Zoe), Raúl Castillo (Jay)"
4859,4723. Miss March,tt1151922,5.0,2016,1h 20m,Miss March,4723. Miss March,https://www.boxofficemojo.com/title/tt1151922/,Miss March (2009),"$4,591,629","$4,543,320","$48,309",Zach Cregger,"Zach Cregger (Eugene Bell), Trevor Moore (Tucker Cleigh), Raquel Alessi (Cindi Whitehall), Molly Stanton (Candace)"
4860,4724. Pieces of April,tt0311648,7.0,1h 48m,3h 13m,Pieces of April,4724. Pieces of April,https://www.boxofficemojo.com/title/tt0311648/,Pieces of April (2003),"$3,282,321","$2,528,664","$753,657",Peter Hedges,"Katie Holmes (April Burns), Oliver Platt (Jim Burns), Patricia Clarkson (Joy Burns), Derek Luke (Bobby)"
4861,4725. Kabhi Alvida Naa Kehna,tt0449999,6.1,R,1h 30m,Kabhi Alvida Naa Kehna,4725. Kabhi Alvida Naa Kehna,https://www.boxofficemojo.com/title/tt0449999/,Kabhi Alvida Naa Kehna (2006),"$25,229,168","$3,275,444","$21,953,724",Karan Johar,"Shah Rukh Khan (Dev Saran), Rani Mukerji (Maya Talwar), Amitabh Bachchan (Samarjit Talwar), Abhishek Bachchan (Rishi Talwar)"
4862,4726. The Last Mimzy,tt0768212,6.2,2010,1h 48m,The Last Mimzy,4726. The Last Mimzy,https://www.boxofficemojo.com/title/tt0768212/,The Last Mimzy (2007),"$27,308,918","$21,471,047","$5,837,871",Robert Shaye,"Joely Richardson (Jo Wilder), Rainn Wilson (Larry White), Timothy Hutton (David Wilder), Chris O'Neil (Noah Wilder)"
4863,4727. Assassination Nation,tt6205872,6.0,1h 43m,1h 36m,Assassination Nation,4727. Assassination Nation,https://www.boxofficemojo.com/title/tt6205872/,Assassination Nation (2018),"$2,584,988","$2,005,142","$579,846",Sam Levinson,"Odessa Young (Lily), Abra (Em), Suki Waterhouse (Sarah), Hari Nef (Bex)"
4864,4728. David Brent: Life on the Road,tt3137630,6.3,R,2h 23m,David Brent: Life on the Road,4728. David Brent: Life on the Road,https://www.boxofficemojo.com/title/tt3137630/,David Brent: Life on the Road (2016),"$5,204,054",–,"$5,204,054",Ricky Gervais,"Ricky Gervais (David Brent), Rob Jarvis (Client), Abbie Murphy (Serena Wilson), Mandeep Dhillon (Karen Parashar)"
4865,4729. Black Friday,tt0400234,8.4,2011,3h 8m,Black Friday,4729. Black Friday,https://www.boxofficemojo.com/title/tt0400234/,Black Friday (2004),"$1,610,897","$35,000","$1,575,897",Anurag Kashyap,"Kay Kay Menon (DCP Rakesh Maria), Pawan Malhotra (Mushtaq 'Tiger' Memon), Aditya Srivastav (Badshah Khan/Nasir Khan), Dibyendu Bhattacharya (Yeda Yakub)"
4866,4730. Sivaji,tt0479751,7.5,1h 35m,1h 35m,Sivaji,4730. Sivaji,https://www.boxofficemojo.com/title/tt0479751/,Sivaji (2007),"$5,871,620",–,"$5,871,620",S. Shankar,"Rajinikanth (Sivaji Arumugam), Shriya Saran (Tamizhselvi/Vidyabharti Ramlingam), Suman (Adisheshan), Vivek (Arivu Mama)"
4867,4731. Wounds,tt5913798,4.1,R,1h 45m,Wounds,4731. Wounds,https://www.boxofficemojo.com/title/tt5913798/,Wounds (2019),–,–,–,Babak Anvari,"Armie Hammer (Will), Zazie Beetz (Alicia), Karl Glusman (Jeffrey), Christin Rankins (Mary)"
4868,4732. We Are What We Are,tt2309021,5.9,2011,1h 24m,We Are What We Are,4732. We Are What We Are,https://www.boxofficemojo.com/title/tt2309021/,We Are What We Are (2013),"$159,047","$81,381","$77,666",Jim Mickle,"Bill Sage (Frank Parker), Ambyr Childers (Iris Parker), Julia Garner (Rose Parker), Wyatt Russell (Deputy Anders)"
4869,4733. No Good Deed,tt2011159,5.6,1h 50m,2h 1m,No Good Deed,4733. No Good Deed,https://www.boxofficemojo.com/title/tt2011159/,No Good Deed (2014),"$54,323,210","$52,543,632","$1,779,578",Sam Miller,"Taraji P. Henson (Terry), Idris Elba (Colin), Leslie Bibb (Meg), Kate del Castillo (Alexis)"
4870,4734. The Last Black Man in San Francisco,tt4353250,7.3,PG-13,1h 41m,The Last Black Man in San Francisco,4734. The Last Black Man in San Francisco,https://www.boxofficemojo.com/title/tt4353250/,The Last Black Man in San Francisco (2019),"$4,637,830","$4,515,719","$122,111",Joe Talbot,"Jimmie Fails (Jimmie Fails), Jonathan Majors (Montgomery Allen), Rob Morgan (James Sr.), Tichina Arnold (Wanda Fails)"
4871,4735. Into the Forest,tt2625810,5.8,2022,1h 38m,Into the Forest,4735. Into the Forest,https://www.boxofficemojo.com/title/tt2625810/,Into the Forest (2015),"$92,166","$9,995","$82,171",Patricia Rozema,"Elliot Page (Nell), Evan Rachel Wood (Eva), Max Minghella (Eli), Callum Keith Rennie (Robert)"
4872,4736. Veronica Guerin,tt0312549,6.8,2h 47m,1h 24m,Veronica Guerin,4736. Veronica Guerin,https://www.boxofficemojo.com/title/tt0312549/,Veronica Guerin (2003),"$9,439,660","$1,571,504","$7,868,156",Joel Schumacher,"Cate Blanchett (Veronica Guerin), Colin Farrell (Tattooed Boy), Brenda Fricker (Bernie Guerin), Ciarán Hinds (John Traynor)"
4873,4737. Teen Titans GO! To the Movies,tt7424200,6.7,Not Rated,2h 10m,Teen Titans GO! To the Movies,4737. Teen Titans GO! To the Movies,https://www.boxofficemojo.com/title/tt7424200/,Teen Titans GO! To the Movies (2018),"$52,390,236","$29,790,236","$22,600,000",Aaron Horvath,"Greg Cipes (Beast Boy), Scott Menville (Robin), Khary Payton (Cyborg), Tara Strong (Raven)"
4874,4738. Suburra,tt4025514,7.4,2016,2h 44m,Suburra,4738. Suburra,https://www.boxofficemojo.com/title/tt4025514/,Suburra (2015),"$5,217,330",–,"$5,217,330",Stefano Sollima,"Pierfrancesco Favino (Filippo Malgradi), Elio Germano (Sebastiano), Claudio Amendola (Samurai), Alessandro Borghi (Numero 8)"
4875,4739. Thugs of Hindostan,tt5970844,4.1,2h 26m,1h 57m,Thugs of Hindostan,4739. Thugs of Hindostan,https://www.boxofficemojo.com/title/tt5970844/,Thugs of Hindostan (2018),"$39,570,044","$1,449,848","$38,120,196",Vijay Krishna Acharya,"Aamir Khan (Firangi), Lloyd Owen (John Clive), Amitabh Bachchan (Khudabaksh), Katrina Kaif (Suraiyya)"
4876,4740. The Command,tt4951982,6.6,R,1h 35m,The Command,4740. The Command,https://www.boxofficemojo.com/title/tt4951982/,The Command (2018),"$6,821,775",–,"$6,821,775",Thomas Vinterberg,"Matthias Schoenaerts (Mikhail Averin), Léa Seydoux (Tanya Averina), Peter Simonischek (Admiral Vyacheslav Grudzinsky), August Diehl (Anton Markov)"
4877,4741. Killshot,tt0443559,6.0,2018,2h 40m,Killshot,4741. Killshot,https://www.boxofficemojo.com/title/tt0443559/,Killshot (2008),"$2,961,647","$18,643","$2,943,004",John Madden,"Thomas Jane (Wayne Colson), Diane Lane (Carmen), Mickey Rourke (Blackbird), Brandon McGibbon (Blackbird's Kid Brother)"
4878,4742. Thani Oruvan,tt4987556,8.4,1h 54m,1h 35m,Thani Oruvan,4742. Thani Oruvan,https://www.boxofficemojo.com/title/tt4987556/,Thani Oruvan (2015),–,–,–,Mohan Raja,"Jayam Ravi (Mithran IPS), Arvind Swamy (Siddharth Abimanyu), Nayanthara (Mahima), Nassar (Chief Minister)"
4879,4743. Vivo,tt6338498,6.7,PG-13,1h 54m,Vivo,4743. Vivo,https://www.boxofficemojo.com/title/tt6338498/,Vivo (2021),"$278,381",–,"$278,381",Kirk DeMicco,"Lin-Manuel Miranda (Vivo), Ynairaly Simo (Gabi), Zoe Saldana (Rosa), Juan de Marcos González (Andrés)"
4880,4744. The Stoning of Soraya M.,tt1277737,7.9,2012,1h 32m,The Stoning of Soraya M.,4744. The Stoning of Soraya M.,https://www.boxofficemojo.com/title/tt1277737/,The Stoning of Soraya M. (2008),"$1,120,476","$637,421","$483,055",Cyrus Nowrasteh,"Shohreh Aghdashloo (Zahra), Jim Caviezel (Freidoune Sahebjam), Mozhan Navabi (Soraya M.), Navid Negahban (Ali)"
4881,4745. Intrusion,tt5563324,5.3,1h 56m,2h 4m,Intrusion,4745. Intrusion,https://www.boxofficemojo.com/title/tt5563324/,Intrusion (2021),–,–,–,Adam Salky,"Freida Pinto (Meera Parsons), Logan Marshall-Green (Henry Parsons), Robert John Burke (Detective Steven Morse), Megan Elisabeth Kelly (Christine Cobb)"
4882,4746. SAS: Rise of the Black Swan,tt4479380,5.3,R,1h 36m,SAS: Rise of the Black Swan,4746. SAS: Rise of the Black Swan,https://www.boxofficemojo.com/title/tt4479380/,SAS: Rise of the Black Swan (2021),"$198,432","$146,329","$52,103",Magnus Martens,"Sam Heughan (Tom Buckingham), Ruby Rose (Grace Lewis), Andy Serkis (George Clements), Hannah John-Kamen (Dr. Sophie Hart)"
4883,4747. Thumbsucker,tt0318761,6.5,2019,1h 59m,Thumbsucker,4747. Thumbsucker,https://www.boxofficemojo.com/title/tt0318761/,Thumbsucker (2005),"$2,138,742","$1,328,679","$810,063",Mike Mills,"Lou Taylor Pucci (Justin Cobb), Tilda Swinton (Audrey Cobb), Vincent D'Onofrio (Mike Cobb), Keanu Reeves (Perry Lyman)"
4884,4748. Enigma,tt0157583,6.4,1h 29m,1h 48m,Enigma,4748. Enigma,https://www.boxofficemojo.com/title/tt0157583/,Enigma (2001),"$15,713,204","$4,301,582","$11,411,622",Michael Apted,"Dougray Scott (Thomas Jericho), Kate Winslet (Hester Wallace), Saffron Burrows (Claire), Jeremy Northam (Wigram)"
4885,4749. Annapolis,tt0417433,5.8,R,1h 59m,Annapolis,4749. Annapolis,https://www.boxofficemojo.com/title/tt0417433/,Annapolis (2006),"$17,496,992","$17,127,992","$369,000",Justin Lin,"James Franco (Jake Huard), Jordana Brewster (Ali), Tyrese Gibson (Cole), Donnie Wahlberg (Lt. Burton)"
4886,4750. Rise of the Footsoldier,tt0901507,6.8,2017,2h 9m,Rise of the Footsoldier,4750. Rise of the Footsoldier,https://www.boxofficemojo.com/title/tt0901507/,Rise of the Footsoldier (2007),"$355,345",–,"$355,345",Julian Gilbey,"Ricci Harnett (Carlton Leach), Craig Fairbrass (Pat Tate), Terry Stone (Tony Tucker), Roland Manookian (Craig Rolfe)"
4887,"4751. Monica, O My Darling",tt15128068,7.4,1h 25m,1h 35m,"Monica, O My Darling","4751. Monica, O My Darling",https://www.boxofficemojo.com/title/tt15128068/,"Monica, O My Darling (2022)",–,–,–,Vasan Bala,"Rajkummar Rao (Jayant Arkhedkar), Huma Qureshi (Monica Machado), Sikandar Kher (Nishikant Andhikari), Bagavathi Perumal (Arvind Manivannan)"
4888,4752. O,tt0184791,6.1,TV-MA,1h 39m,O,4752. O,https://www.boxofficemojo.com/title/tt0184791/,O (2001),"$19,260,537","$16,025,437","$3,235,100",Tim Blake Nelson,"Mekhi Phifer (Odin James), Julia Stiles (Desi Brable), Martin Sheen (Coach Duke Goulding), Josh Hartnett (Hugo Goulding)"
4889,4753. Quiz Lady,tt13405810,6.7,2007,1h 26m,Quiz Lady,4753. Quiz Lady,https://www.boxofficemojo.com/title/tt13405810/,Quiz Lady (2023),–,–,–,Jessica Yu,"Awkwafina (Anne Yum), Sandra Oh (Jenny Yum), Will Ferrell (Terry McTeer), Holland Taylor (Francine)"
4890,4754. My Summer of Love,tt0382189,6.7,1h 55m,1h 39m,My Summer of Love,4754. My Summer of Love,https://www.boxofficemojo.com/title/tt0382189/,My Summer of Love (2004),"$2,766,976","$1,000,915","$1,766,061",Pawel Pawlikowski,"Natalie Press (Mona), Emily Blunt (Tamsin), Paddy Considine (Phil), Dean Andrews (Ricky)"
4891,4755. Russian Ark,tt0318034,7.2,R,1h 27m,Russian Ark,4755. Russian Ark,https://www.boxofficemojo.com/title/tt0318034/,Russian Ark (2002),"$8,691,860","$3,048,997","$5,641,171",Aleksandr Sokurov,"Sergey Dreyden (The Stranger (The Marquis de Custine)), Mariya Kuznetsova (Catherine The Great), Leonid Mozgovoy (The Spy), Mikhail Piotrovsky (Self (Hermitage Director))"
4892,4756. No One Gets Out Alive,tt13056008,5.4,2010,2h 16m,No One Gets Out Alive,4756. No One Gets Out Alive,https://www.boxofficemojo.com/title/tt13056008/,No One Gets Out Alive (2021),–,–,–,Santiago Menghini,"Phil Robertson (Arthur Welles), Joana Borja (Simona), Victoria Alcock (Mary), Cristina Rodlo (Ambar)"
4893,4757. Tubelight,tt5882970,3.9,1h 30m,1h 30m,Tubelight,4757. Tubelight,https://www.boxofficemojo.com/title/tt5882970/,Tubelight (2017),"$4,650,456","$930,058","$3,720,398",Kabir Khan,"Salman Khan (Laxman), Sohail Khan (Bharat), Om Puri (Banne Chacha), Mohd. Zeeshan Ayyub (Narayan)"
4894,4758. The Willoughbys,tt5206260,6.4,R,1h 28m,The Willoughbys,4758. The Willoughbys,https://www.boxofficemojo.com/title/tt5206260/,The Willoughbys (2020),–,–,–,Kris Pearn,"Will Forte (Tim), Maya Rudolph (Nanny), Alessia Cara (Jane), Terry Crews (Commander Melanoff)"
4895,4759. Beta Test,tt4244162,4.8,2014,2h 2m,Beta Test,4759. Beta Test,https://www.boxofficemojo.com/title/tt4244162/,Beta Test (2016),"$10,104","$10,104",–,Nicholas Gyeney,"Manu Bennett (Creed), Larenz Tate (Max), Linden Ashby (Kincaid), Yuji Okumoto (The Surgeon)"
4896,4760. The Namesake,tt0433416,7.5,2h 28m,2h 35m,The Namesake,4760. The Namesake,https://www.boxofficemojo.com/title/tt0433416/,The Namesake (2006),"$20,354,321","$13,569,248","$6,785,073",Mira Nair,"Kal Penn (Nikhil a.k.a. Gogol), Irrfan Khan (Ashoke), Tabu (Ashima), Jacinda Barrett (Maxine)"
4897,4761. Priyotoma,tt28228231,5.6,R,1h 44m,Priyotoma,4761. Priyotoma,https://www.boxofficemojo.com/title/tt28228231/,Priyotoma (2023),"$143,670","$132,295","$11,375",Himel Ashraf,"Shakib Khan (Sumon), Idhika Paul (Eti), Shahiduzzaman Selim (Usman), Lutfur Rahman George (Khalek Chairman)"
4898,4762. Eyyvah Eyvah,tt1594918,7.0,2011,1h 34m,Eyyvah Eyvah,4762. Eyyvah Eyvah,https://www.boxofficemojo.com/title/tt1594918/,Eyyvah Eyvah (2010),"$16,401,863",–,"$16,401,863",Hakan Algül,"Demet Akbag (Firuzan), Ata Demirer (Huseyin Badem), Özge Borak (Müjgan), Bican Günalan (Ramiz)"
4899,4763. The Package,tt7525778,5.6,1h 28m,1h 43m,The Package,4763. The Package,https://www.boxofficemojo.com/title/tt7525778/,The Package (2018),–,–,–,Jake Szymanski,"Daniel Doheny (Sean Floyd), Geraldine Viswanathan (Becky Abelar), Sadie Calvano (Sarah), Luke Spencer Roberts (Donnie)"
4900,4764. The Signal,tt0780607,6.0,R,2h 13m,The Signal,4764. The Signal,https://www.boxofficemojo.com/title/tt0780607/,The Signal (2014),"$2,595,622","$600,896","$1,994,726",William Eubank,"Brenton Thwaites (Nic), Olivia Cooke (Haley), Beau Knapp (Jonah), Laurence Fishburne (Damon)"
4901,4764. The Signal,tt0780607,6.0,R,2h 13m,The Signal,4764. The Signal,https://www.boxofficemojo.com/title/tt0780607/,The Signal (2007),"$1,040,386","$251,150","$789,236",David Bruckner,"Anessa Ramsey (Mya Denton), Justin Welborn (Ben Capstone), Scott Poythress (Clark), Sahr Ngaujah (Rod)"
4902,4765. Darlings,tt14152140,6.6,2010,1h 52m,Darlings,4765. Darlings,https://www.boxofficemojo.com/title/tt14152140/,Darlings (2022),–,–,–,Jasmeet K Reen,"Alia Bhatt (Badrunissa Sheikh), Shefali Shah (Shamshunissa), Vijay Varma (Hamza Sheikh), Roshan Mathew (Zulfi)"
4903,4766. Akeelah and the Bee,tt0437800,7.4,1h 48m,1h 36m,Akeelah and the Bee,4766. Akeelah and the Bee,https://www.boxofficemojo.com/title/tt0437800/,Akeelah and the Bee (2006),"$18,948,425","$18,848,430","$99,995",Doug Atchison,"Angela Bassett (Tanya), Laurence Fishburne (Dr. Larabee), Keke Palmer (Akeelah), Curtis Armstrong (Mr. Welch)"
4904,4767. Naked,tt6048930,5.4,R,2h,Naked,4767. Naked,https://www.boxofficemojo.com/title/tt6048930/,Naked (2017),–,–,–,Michael Tiddes,"Marlon Wayans (Rob Anderson), Regina Hall (Megan), Dennis Haysbert (Reginald Swope), J.T. Jackson (Benny)"
4905,4768. The Birth of a Nation,tt4196450,6.5,2008,1h 36m,The Birth of a Nation,4768. The Birth of a Nation,https://www.boxofficemojo.com/title/tt4196450/,The Birth of a Nation (2016),"$16,779,212","$15,861,566","$917,646",Nate Parker,"Nate Parker (Nat Turner), Armie Hammer (Samuel Turner), Penelope Ann Miller (Elizabeth Turner), Jackie Earle Haley (Raymond Cobb)"
4906,4769. Traffik,tt5670152,5.9,1h 27m,1h 40m,Traffik,4769. Traffik,https://www.boxofficemojo.com/title/tt5670152/,Traffik (2018),"$9,515,914","$9,186,156","$329,758",Deon Taylor,"Priscilla Quintana (Christine), Luke Goss (Red), Paula Patton (Brea), William Fichtner (Carl Waynewright)"
4907,4770. Crimson Rivers 2: Angels of the Apocalypse,tt0337103,5.9,PG-13,1h 30m,Crimson Rivers 2: Angels of the Apocalypse,4770. Crimson Rivers 2: Angels of the Apocalypse,https://www.boxofficemojo.com/title/tt0337103/,Crimson Rivers 2: Angels of the Apocalypse (2004),"$40,152,148","$152,148","$40,000,000",Olivier Dahan,"Jean Reno (Pierre Niemans), Benoît Magimel (Reda), Christopher Lee (Heinrich von Garten), Camille Natta (Marie)"
4908,4771. Toc Toc,tt6060156,6.8,2012,1h 27m,Toc Toc,4771. Toc Toc,https://www.boxofficemojo.com/title/tt6060156/,Toc Toc (2017),"$7,158,925",–,"$7,158,925",Vicente Villanueva,"Paco León (Emilio), Alexandra Jiménez (Blanca), Rossy de Palma (Ana María), Nuria Herrero (Lili)"
4909,4772. Avengement,tt8836988,6.6,1h 32m,1h 25m,Avengement,4772. Avengement,https://www.boxofficemojo.com/title/tt8836988/,Avengement (2019),"$39,153",–,"$39,153",Jesse V. Johnson,"Scott Adkins (Cain Burgess), Craig Fairbrass (Lincoln Burgess), Thomas Turgoose (Tune), Nick Moran (Hyde)"
4910,4773. Big Trouble,tt0246464,6.4,PG,1h 47m,Big Trouble,4773. Big Trouble,https://www.boxofficemojo.com/title/tt0246464/,Big Trouble (2002),"$8,493,890","$7,267,307","$1,226,583",Barry Sonnenfeld,"Tim Allen (Eliot Arnold), Rene Russo (Anna Herk), Stanley Tucci (Arthur Herk), Tom Sizemore (Snake Dupree)"
4911,4774. My Soul to Take,tt0872230,4.8,2006,1h 46m,My Soul to Take,4774. My Soul to Take,https://www.boxofficemojo.com/title/tt0872230/,My Soul to Take (2010),"$21,500,813","$14,744,435","$6,756,378",Wes Craven,"Max Thieriot (Bug), John Magaro (Alex), Denzel Whitaker (Jerome), Zena Grey (Penelope)"
4912,4775. Mine,tt3707104,5.8,2h 5m,1h 55m,Mine,4775. Mine,https://www.boxofficemojo.com/title/tt3707104/,Mine (2016),"$1,788,934",–,"$1,788,934",Fabio Guaglione,"Armie Hammer (Sgt. Michael Stevens), Annabelle Wallis (Jenny), Tom Cullen (Tommy Madison), Clint Dyer (Berber)"
4913,4776. The Wolf's Call,tt7458762,6.9,PG-13,2h 2m,The Wolf's Call,4776. The Wolf's Call,https://www.boxofficemojo.com/title/tt7458762/,The Wolf's Call (2019),"$12,652,790",–,"$12,652,790",Antonin Baudry,"François Civil (Chanteraide), Omar Sy (D'Orsi), Mathieu Kassovitz (ALFOST), Reda Kateb (Grandchamp)"
4914,4777. Bride & Prejudice,tt0361411,6.2,2012,1h 30m,Bride & Prejudice,4777. Bride & Prejudice,https://www.boxofficemojo.com/title/tt0361411/,Bride & Prejudice (2004),"$24,716,440","$6,605,592","$18,110,848",Gurinder Chadha,"Martin Henderson (William Darcy), Aishwarya Rai Bachchan (Lalita Bakshi), Nadira Babbar (Manorama Bakshi), Anupam Kher (Chaman Bakshi)"
4915,4778. The Super,tt5884784,5.2,1h 36m,1h 46m,The Super,4778. The Super,https://www.boxofficemojo.com/title/tt5884784/,The Super (2017),"$19,513",–,"$19,513",Stephan Rick,"Patrick John Flueger (Phil Lodge), Val Kilmer (Walter), Louisa Krause (Beverly), Mattea Conforti (Rose)"
4916,4779. Below Zero,tt9845564,6.2,R,1h 29m,Below Zero,4779. Below Zero,https://www.boxofficemojo.com/title/tt9845564/,Below Zero (2021),–,–,–,Lluís Quílez,"Javier Gutiérrez (Martín Salas), Karra Elejalde (Miguel García), Luis Callejo (Ramis), Andrés Gertrúdix (Golum)"
4917,4780. Southbound,tt4935334,5.9,2006,1h 43m,Southbound,4780. Southbound,https://www.boxofficemojo.com/title/tt4935334/,Southbound (2015),"$35,275","$23,665","$11,610",Roxanne Benjamin,"Chad Villella (Mitch), Matt Bettinelli-Olpin (Jack), Kristina Pesic (Sutter), Fabianne Therese (Sadie)"
4918,4781. Immortal,tt0314063,5.9,1h 51m,1h 35m,Immortal,4781. Immortal,https://www.boxofficemojo.com/title/tt0314063/,Immortal (2004),"$7,172,452",–,"$7,172,452",Enki Bilal,"Linda Hardy (Jill), Thomas Kretschmann (Nikopol), Charlotte Rampling (Elma Turner), Yann Collette (Froebe)"
4919,4782. Kidnapping Mr. Heineken,tt2917388,6.1,R,1h 38m,Kidnapping Mr. Heineken,4782. Kidnapping Mr. Heineken,https://www.boxofficemojo.com/title/tt2917388/,Kidnapping Mr. Heineken (2015),"$3,184,017",–,"$3,184,017",Daniel Alfredson,"Jim Sturgess (Cor Van Hout), Sam Worthington (Willem Holleeder), Ryan Kwanten (Jan 'Cat' Boellard), Anthony Hopkins (Freddy Heineken)"
4920,4783. In Hell,tt0339135,6.1,2010,1h 25m,In Hell,4783. In Hell,https://www.boxofficemojo.com/title/tt0339135/,In Hell (2003),"$293,671",–,"$293,671",Ringo Lam,"Jean-Claude Van Damme (Kyle LeBlanc), Lawrence Taylor (451), Lloyd Battista (General Hruschov), Carlos Gómez (Tolik)"
4921,4784. Setup,tt1748197,4.4,1h 54m,2h 19m,Setup,4784. Setup,https://www.boxofficemojo.com/title/tt1748197/,Setup (2011),"$2,140,476",–,"$2,140,476",Mike Gunther,"50 Cent (Sonny), Bruce Willis (Biggs), Ryan Phillippe (Vincent Long), Rory Markham (Markus)"
4922,4785. 9th Company,tt0417397,7.1,PG-13,1h 39m,9th Company,4785. 9th Company,https://www.boxofficemojo.com/title/tt0417397/,9th Company (2005),"$26,146,165",–,"$26,146,165",Fedor Bondarchuk,"Artur Smolyaninov (Oleg 'Lyutyy' Lyutaev), Aleksey Chadov (Vladimir 'Vorobey' Vorobyov), Konstantin Kryukov (Ruslan 'Gioconda' Petrovskiy), Ivan Kokorin ('Chugun' Chugaynov)"
4923,4786. Assault on Wall Street,tt2368553,6.0,2010,1h 23m,Assault on Wall Street,4786. Assault on Wall Street,https://www.boxofficemojo.com/title/tt2368553/,Assault on Wall Street (2013),–,–,–,Uwe Boll,"Dominic Purcell (Jim Baxford), Erin Karpluk (Rosie Baxford), Edward Furlong (Sean), John Heard (Jeremy Stancroft)"
4924,4787. Sick,tt14642626,6.0,1h 40m,2h 20m,Sick,4787. Sick,https://www.boxofficemojo.com/title/tt14642626/,Sick (2022),–,–,–,John Hyams,"Gideon Adlon (Parker Mason), Bethlehem Million (Miri Woodlow), Dylan Sprayberry (DJ Cole), Marc Menchaca (Jason)"
4925,4788. Mulk,tt7618184,7.2,PG,1h 21m,Mulk,4788. Mulk,https://www.boxofficemojo.com/title/tt7618184/,Mulk (2018),"$205,009",–,"$205,009",Anubhav Sinha,"Taapsee Pannu (Aarti), Rishi Kapoor (Murad Ali Mohammed), Ashrut Jain (Rashid), Ashutosh Rana (Santosh)"
4926,4789. The Gallows,tt2309260,4.2,2007,2h 9m,The Gallows,4789. The Gallows,https://www.boxofficemojo.com/title/tt2309260/,The Gallows (2015),"$42,964,410","$22,764,410","$20,200,000",Travis Cluff,"Reese Mishler (Reese Houser), Pfeifer Brown (Pfeifer Ross), Ryan Shoos (Ryan Shoos), Cassidy Gifford (Cassidy Spilker)"
4927,4790. Courageous,tt1630036,6.9,1h 54m,2h 15m,Courageous,4790. Courageous,https://www.boxofficemojo.com/title/tt1630036/,Courageous (2011),"$35,690,739","$35,027,076","$663,663",Alex Kendrick,"Alex Kendrick (Adam Mitchell), Ken Bevel (Nathan Hayes), Kevin Downes (Shane Fuller), Renee Jewell (Victoria Mitchell)"
