Index,Title_x,ID,Rating,Release Year,Duration,Cleaned_Title,Title_y,BoxOfficeMojo_Link,Title,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
3110,3036. The Colony,tt1160996,5.3,2009,1h 35m,The Colony,3036. The Colony,https://www.boxofficemojo.com/title/tt1160996/,The Colony (2013),"$557,865",–,"$557,865",Jeff Renfroe,"Kevin Zegers (Sam), Laurence Fishburne (Briggs), Bill Paxton (Mason), Charlotte Sullivan (Kai)"
3111,3036. The Colony,tt1160996,5.3,2009,1h 35m,The Colony,3036. The Colony,https://www.boxofficemojo.com/title/tt1160996/,The Colony (2021),"$328,914",–,"$328,914",Tim Fehlbaum,"Nora Arnezeder (Blake), Iain Glen (Gibson), Sarah-Sofie Boussnina (Narvik), Sope Dirisu (Tucker)"
3112,3037. Sleep Tight,tt1437358,7.2,1h 34m,1h 42m,Sleep Tight,3037. Sleep Tight,https://www.boxofficemojo.com/title/tt1437358/,Sleep Tight (2011),"$8,791,590",–,"$8,791,590",Jaume Balagueró,"Luis Tosar (César), Marta Etura (Clara), Alberto San Juan (Marcos), Petra Martínez (Sra. Verónica)"
3113,3038. Rebecca,tt2235695,6.0,PG,2h 3m,Rebecca,3038. Rebecca,https://www.boxofficemojo.com/title/tt2235695/,Rebecca (2020),–,–,–,Ben Wheatley,"Lily James (Mrs. de Winter), Armie Hammer (Maxim de Winter), Kristin Scott Thomas (Mrs. Danvers), Keeley Hawes (Beatrice)"
3114,3039. The Zookeeper's Wife,tt1730768,7.0,2023,2h 7m,The Zookeeper's Wife,3039. The Zookeeper's Wife,https://www.boxofficemojo.com/title/tt1730768/,The Zookeeper's Wife (2017),"$26,152,835","$17,571,660","$8,581,175",Niki Caro,"Jessica Chastain (Antonina Zabinska), Johan Heldenbergh (Jan Zabinski), Daniel Brühl (Lutz Heck), Timothy Radford (Ryszard Zabinski (Younger))"
3115,3040. American Honey,tt3721936,7.0,2h 3m,2h 43m,American Honey,3040. American Honey,https://www.boxofficemojo.com/title/tt3721936/,American Honey (2016),"$2,888,927","$663,246","$2,225,681",Andrea Arnold,"Sasha Lane (Star), Shia LaBeouf (Jake), Riley Keough (Krystal), McCaul Lombardi (Corey)"
3116,3041. Ben-Hur,tt2638144,5.7,R,2h 3m,Ben-Hur,3041. Ben-Hur,https://www.boxofficemojo.com/title/tt2638144/,Ben-Hur (2016),"$94,061,311","$26,410,477","$67,650,834",Timur Bekmambetov,"Jack Huston (Judah Ben-Hur), Toby Kebbell (Messala Severus), Rodrigo Santoro (Jesus), Nazanin Boniadi (Esther)"
3117,3042. Strange World,tt10298840,5.7,2001,1h 42m,Strange World,3042. Strange World,https://www.boxofficemojo.com/title/tt10298840/,Strange World (2022),"$73,621,640","$37,968,963","$35,652,677",Don Hall,"Jake Gyllenhaal (Searcher Clade), Jaboukie Young-White (Ethan Clade), Gabrielle Union (Meridian Clade), Dennis Quaid (Jaeger Clade)"
3118,3043. The Counterfeiters,tt0813547,7.5,1h 23m,1h 39m,The Counterfeiters,3043. The Counterfeiters,https://www.boxofficemojo.com/title/tt0813547/,The Counterfeiters (2007),"$18,814,713","$5,488,570","$13,326,143",Stefan Ruzowitzky,"Karl Markovics (Solomon 'Sally' Sorowitsch), August Diehl (Adolf Burger), Devid Striesow (Sturmbannführer Friedrich Herzog), Martin Brambach (Hauptscharführer Holst)"
3119,3044. Teeth,tt0780622,5.4,R,1h 34m,Teeth,3044. Teeth,https://www.boxofficemojo.com/title/tt0780622/,Teeth (2007),"$2,340,110","$347,578","$1,992,532",Mitchell Lichtenstein,"Jess Weixler (Dawn), John Hensley (Brad), Josh Pais (Dr. Godfrey), Hale Appleman (Tobey Cobb)"
3120,3045. Charlotte's Web,tt0413895,6.3,2008,1h 37m,Charlotte's Web,3045. Charlotte's Web,https://www.boxofficemojo.com/title/tt0413895/,Charlotte's Web (2006),"$148,964,660","$82,985,708","$65,978,114",Gary Winick,"Dakota Fanning (Fern Arable), Julia Roberts (Charlotte the Spider), Oprah Winfrey (Gussy the Female Goose), Steve Buscemi (Templeton the Rat)"
3121,3046. Alone in the Dark,tt0369226,2.4,1h 44m,1h 36m,Alone in the Dark,3046. Alone in the Dark,https://www.boxofficemojo.com/title/tt0369226/,Alone in the Dark (2005),"$12,693,645","$5,178,569","$7,515,076",Uwe Boll,"Christian Slater (Edward Carnby), Tara Reid (Aline Cedrac), Stephen Dorff (Commander Burke), Frank C. Turner (Fischer)"
3122,3047. The Hidden Face,tt1772250,7.3,PG-13,1h 37m,The Hidden Face,3047. The Hidden Face,https://www.boxofficemojo.com/title/tt1772250/,The Hidden Face (2011),"$6,318,409",–,"$6,318,409",Andrés Baiz,"Quim Gutiérrez (Adrián), Martina García (Fabiana), María Soledad Rodríguez (Mesera), Jose Luis Garcia (Novio Pelea)"
3123,3048. Somewhere,tt1421051,6.3,2016,1h 37m,Somewhere,3048. Somewhere,https://www.boxofficemojo.com/title/tt1421051/,Somewhere (2010),"$15,249,195","$1,785,645","$13,463,550",Sofia Coppola,"Stephen Dorff (Johnny Marco), Elle Fanning (Cleo), Chris Pontius (Sammy), Erin Wasson (Party Girl #1)"
3124,3049. Maggie,tt1881002,5.6,2h 13m,1h 35m,Maggie,3049. Maggie,https://www.boxofficemojo.com/title/tt1881002/,Maggie (2015),"$1,663,165","$187,112","$1,476,053",Henry Hobson,"Arnold Schwarzenegger (Wade Vogel), Abigail Breslin (Maggie Vogel), Joely Richardson (Caroline Vogel), Laura Cayouette (Linda)"
