Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link
3353. Maniac,tt2103217,6.1,PG,1h 29m,https://www.boxofficemojo.com/title/tt2103217/
3354. Soul Kitchen,tt1244668,7.2,2012,1h 39m,https://www.boxofficemojo.com/title/tt1244668/
3355. Vishwaroopam,tt2199711,7.9,1h 45m,2h 28m,https://www.boxofficemojo.com/title/tt2199711/
3356. We Are Your Friends,tt3787590,6.2,R,1h 36m,https://www.boxofficemojo.com/title/tt3787590/
3357. Rubber,tt1612774,5.7,2012,1h 22m,https://www.boxofficemojo.com/title/tt1612774/
3358. Looney Tunes: Back in Action,tt0318155,5.8,1h 28m,1h 31m,https://www.boxofficemojo.com/title/tt0318155/
3359. The Tragedy of Macbeth,tt10095582,7.1,R,1h 45m,https://www.boxofficemojo.com/title/tt10095582/
3360. Lamb,tt9812474,6.3,2023,1h 46m,https://www.boxofficemojo.com/title/tt9812474/
3361. Ghost in the Shell 2: Innocence,tt0347246,7.4,2h 38m,1h 40m,https://www.boxofficemojo.com/title/tt0347246/
3362. Big Fat Liar,tt0265298,5.5,R,1h 28m,https://www.boxofficemojo.com/title/tt0265298/
3363. License to Wed,tt0762114,5.3,2022,1h 31m,https://www.boxofficemojo.com/title/tt0762114/
3364. Alvin and the Chipmunks: Chipwrecked,tt1615918,4.4,1h 47m,1h 27m,https://www.boxofficemojo.com/title/tt1615918/
3365. The Guilt Trip,tt1694020,5.8,R,1h 35m,https://www.boxofficemojo.com/title/tt1694020/
3366. Copshop,tt5748448,6.2,2001,1h 47m,https://www.boxofficemojo.com/title/tt5748448/
3367. Liberal Arts,tt1872818,6.7,1h 44m,1h 37m,https://www.boxofficemojo.com/title/tt1872818/
3368. Tom & Jerry,tt1361336,5.3,R,1h 41m,https://www.boxofficemojo.com/title/tt1361336/
3369. John Dies at the End,tt1783732,6.3,2009,1h 39m,https://www.boxofficemojo.com/title/tt1783732/
3370. Astro Boy,tt0375568,6.2,2h 7m,1h 34m,https://www.boxofficemojo.com/title/tt0375568/
3371. Willy's Wonderland,tt8114980,5.5,PG-13,1h 28m,https://www.boxofficemojo.com/title/tt8114980/
3372. Mother's Day,tt4824302,5.6,2013,1h 58m,https://www.boxofficemojo.com/title/tt4824302/
3373. The Glass House,tt0221218,5.8,1h 25m,1h 46m,https://www.boxofficemojo.com/title/tt0221218/
3374. Because I Said So,tt0490084,5.6,R,1h 42m,https://www.boxofficemojo.com/title/tt0490084/
3375. The Baader Meinhof Complex,tt0765432,7.3,2013,2h 30m,https://www.boxofficemojo.com/title/tt0765432/
3376. The Cost of Deception,tt14723224,1.5,1h 48m,2h 5m,https://www.boxofficemojo.com/title/tt14723224/
3377. JCVD,tt1130988,7.0,R,1h 37m,https://www.boxofficemojo.com/title/tt1130988/
3378. Exorcist: The Beginning,tt0204313,5.1,2005,1h 54m,https://www.boxofficemojo.com/title/tt0204313/
3379. Dragonfly,tt0259288,6.1,1h 49m,1h 44m,https://www.boxofficemojo.com/title/tt0259288/
