Title,Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone (2001),tt0241527,7.7,2001,2h 32m,https://www.boxofficemojo.com/title/tt0241527/,"$1,026,414,475","$318,886,962","$707,330,461",Chris Columbus,"Daniel Radcliffe (Harry Potter), Rupert Grint (Ron Weasley), Emma Watson (Hermione Granger), Richard Harris (Albus Dumbledore)"
Once Upon a Time... in Hollywood,Once Upon a Time... in Hollywood (2019),tt7131622,7.6,2019,2h 41m,https://www.boxofficemojo.com/title/tt7131622/,"$392,105,159","$142,502,728","$249,602,348",Quentin Tarantino,"Leonardo DiCaprio (Rick Dalton), Brad Pitt (Cliff Booth), Margot Robbie (Sharon Tate), Emile Hirsch (Jay Sebring)"
300,300 (2006),tt0416449,7.6,2006,1h 57m,https://www.boxofficemojo.com/title/tt0416449/,"$456,082,343","$210,629,101","$245,453,242",Zack Snyder,"Gerard Butler (King Leonidas), Lena Headey (Queen Gorgo), David Wenham (Dilios), Dominic West (Theron)"
Gravity,Gravity (2013),tt1454468,7.7,2013,1h 31m,https://www.boxofficemojo.com/title/tt1454468/,"$723,719,539","$274,092,705","$449,626,800",Alfonso Cuarón,"Sandra Bullock (Ryan Stone), George Clooney (Matt Kowalski), Ed Harris (Mission Control), Orto Ignatiussen (Aningaaq)"
Captain America: Civil War,Captain America: Civil War (2016),tt3498820,7.8,2016,2h 27m,https://www.boxofficemojo.com/title/tt3498820/,"$1,155,046,416","$408,084,349","$746,962,067",Anthony Russo,"Chris Evans (Steve Rogers/Captain America), Robert Downey Jr. (Tony Stark/Iron Man), Scarlett Johansson (Natasha Romanoff/Black Widow), Sebastian Stan (Bucky Barnes/Winter Soldier)"
Logan,Logan (2017),tt3315342,8.1,2017,2h 17m,https://www.boxofficemojo.com/title/tt3315342/,"$619,180,476","$226,277,068","$392,902,882",James Mangold,"Hugh Jackman (Logan/X-24), Patrick Stewart (Charles), Dafne Keen (Laura), Boyd Holbrook (Pierce)"
The Hangover,The Hangover (2009),tt1119646,7.7,2009,1h 40m,https://www.boxofficemojo.com/title/tt1119646/,"$469,328,922","$277,339,746","$191,988,333",Todd Phillips,"Zach Galifianakis (Alan), Bradley Cooper (Phil), Justin Bartha (Doug), Ed Helms (Stu)"
Donnie Darko,Donnie Darko (2001),tt0246578,8.0,2001,1h 53m,https://www.boxofficemojo.com/title/tt0246578/,"$7,413,872","$1,478,493","$5,924,648",Richard Kelly,"Jake Gyllenhaal (Donnie Darko), Jena Malone (Gretchen Ross), Mary McDonnell (Rose Darko), Holmes Osborne (Eddie Darko)"
Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith (2005),tt0121766,7.6,2005,2h 20m,https://www.boxofficemojo.com/title/tt0121766/,"$850,035,635","$380,270,577","$469,765,058",George Lucas,"Hayden Christensen (Anakin Skywalker), Natalie Portman (Padmé), Ewan McGregor (Obi-Wan Kenobi), Samuel L. Jackson (Mace Windu)"
Ratatouille,Ratatouille (2007),tt0382932,8.1,2007,1h 51m,https://www.boxofficemojo.com/title/tt0382932/,"$623,729,380","$206,445,654","$417,280,431",Brad Bird,"Brad Garrett (Gusteau), Lou Romano (Linguini), Patton Oswalt (Remy), Ian Holm (Skinner)"
Black Panther,Black Panther (2018),tt1825683,7.3,2018,2h 14m,https://www.boxofficemojo.com/title/tt1825683/,"$1,349,926,083","$700,426,566","$649,499,517",Ryan Coogler,"Chadwick Boseman (T'Challa/Black Panther), Michael B. Jordan (Erik Killmonger), Lupita Nyong'o (Nakia), Danai Gurira (Okoye)"
The Batman,The Batman (2022),tt1877830,7.8,2022,2h 56m,https://www.boxofficemojo.com/title/tt1877830/,"$772,319,315","$369,345,583","$402,973,732",Matt Reeves,"Robert Pattinson (Bruce Wayne/The Batman), Zoë Kravitz (Selina Kyle), Jeffrey Wright (Lt. James Gordon), Colin Farrell (Oz/The Penguin)"
Prisoners,Prisoners (2013),tt1392214,8.2,2013,2h 33m,https://www.boxofficemojo.com/title/tt1392214/,"$122,127,446","$61,002,302","$61,124,385",Denis Villeneuve,"Hugh Jackman (Keller Dover), Jake Gyllenhaal (Detective Loki), Viola Davis (Nancy Birch), Melissa Leo (Holly Jones)"
